Algorithm,IsParallel,ArraySize,TimeUsed
ENUM,TRUE,1000.00 ,0.0038
QUICK,TRUE,1000.00 ,0.0026
MERGE,TRUE,1000.00 ,0.0022
ENUM,TRUE,10000.00 ,0.1395
QUICK,TRUE,10000.00 ,0.0093
MERGE,TRUE,10000.00 ,0.0015
ENUM,TRUE,100000.00 ,15.6864
QUICK,TRUE,100000.00 ,0.8249
MERGE,TRUE,100000.00 ,0.0117
QUICK,TRUE,500000.00 ,20.148
MERGE,TRUE,500000.00 ,0.0585
ENUM,FALSE,1000.00 ,0.0053
QUICK,FALSE,1000.00 ,0.0003
MERGE,FALSE,1000.00 ,0.0002
ENUM,FALSE,10000.00 ,0.4749
QUICK,FALSE,10000.00 ,0.0125
MERGE,FALSE,10000.00 ,0.002
ENUM,FALSE,100000.00 ,68.3223
QUICK,FALSE,100000.00 ,1.2259
MERGE,FALSE,100000.00 ,0.0196
QUICK,FALSE,500000.00 ,29.0929
MERGE,FALSE,500000.00 ,0.1007
